"taskid","output_type","method","replications_used","near_singular_rate","mcse_near_singular_rate","non_psd_rate","any_near_zero_variance_rate","any_boundary_variance_rate","median_min_eigenvalue"
1,"fit-meta-var-mx","MetaVAR",10,1,0,0,0,0,1.51932762856852e-09
1,"fit-mplus","Mplus DSEM Default",10,,,,0,,
1,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
1,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,0.9,0.9,-0.0336403609381131
2,"fit-meta-var-mx","MetaVAR",10,0.3,0.144913767461894,0,0,0,0.000464008483487098
2,"fit-mplus","Mplus DSEM Default",10,,,,0,,
2,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
2,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,1,1,-0.0341940762783166
3,"fit-meta-var-mx","MetaVAR",10,0.2,0.126491106406735,0,0,0,0.00347132406156627
3,"fit-mplus","Mplus DSEM Default",10,,,,0,,
3,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
3,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,1,1,-0.0338387126298497
4,"fit-meta-var-mx","MetaVAR",10,0.8,0.126491106406735,0,0,0,7.64338562059335e-10
4,"fit-mplus","Mplus DSEM Default",10,,,,0,,
4,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
4,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,0.8,0.8,-0.0116791624617037
5,"fit-meta-var-mx","MetaVAR",10,0.2,0.126491106406735,0,0,0,0.00100682135037291
5,"fit-mplus","Mplus DSEM Default",10,,,,0,,
5,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
5,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,0.9,0.9,-0.0143188838889317
6,"fit-meta-var-mx","MetaVAR",10,0.4,0.154919333848297,0,0,0,0.000660815530149892
6,"fit-mplus","Mplus DSEM Default",10,,,,0,,
6,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
6,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,0.7,0.7,-0.0137358996740462
7,"fit-meta-var-mx","MetaVAR",10,0.3,0.144913767461894,0,0,0,0.000187778297957879
7,"fit-mplus","Mplus DSEM Default",10,,,,0,,
7,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
7,"fit-naive","Uncertainty-Uncorrected",9,1,0,1,0.555555555555556,0.555555555555556,-0.00846003522254659
8,"fit-meta-var-mx","MetaVAR",10,0.4,0.154919333848297,0,0,0,0.000421210817572263
8,"fit-mplus","Mplus DSEM Default",10,,,,0,,
8,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
8,"fit-naive","Uncertainty-Uncorrected",7,1,0,1,0.571428571428571,0.571428571428571,-0.00637474711428011
9,"fit-meta-var-mx","MetaVAR",10,0,0,0,0,0,0.000626062512333654
9,"fit-mplus","Mplus DSEM Default",10,,,,0,,
9,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
9,"fit-naive","Uncertainty-Uncorrected",6,1,0,1,0.666666666666667,0.666666666666667,-0.0061916910639804
10,"fit-meta-var-mx","MetaVAR",10,0.5,0.158113883008419,0,0,0,3.83220759973339e-05
10,"fit-mplus","Mplus DSEM Default",10,,,,0,,
10,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
10,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,0.9,0.9,-0.0175851162762038
11,"fit-meta-var-mx","MetaVAR",10,0.2,0.126491106406735,0,0,0,0.000814902935314915
11,"fit-mplus","Mplus DSEM Default",10,,,,0,,
11,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
11,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,0.9,0.9,-0.0170911654114573
12,"fit-meta-var-mx","MetaVAR",10,0.3,0.144913767461894,0,0,0,0.00100190628838614
12,"fit-mplus","Mplus DSEM Default",10,,,,0,,
12,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
12,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,1,1,-0.0167352988078033
13,"fit-meta-var-mx","MetaVAR",10,0.8,0.126491106406735,0,0,0,3.50452288004828e-10
13,"fit-mplus","Mplus DSEM Default",10,,,,0,,
13,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
13,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,0.8,0.8,-0.0325862447273478
14,"fit-meta-var-mx","MetaVAR",10,0,0,0,0,0,0.00285791406964063
14,"fit-mplus","Mplus DSEM Default",10,,,,0,,
14,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
14,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,0.9,0.9,-0.0268041825874589
15,"fit-meta-var-mx","MetaVAR",10,0.1,0.0948683298050514,0,0,0,0.00199323690487215
15,"fit-mplus","Mplus DSEM Default",10,,,,0,,
15,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
