"taskid","replications","replications_used","parnames","method","default_priors","n","time","mean","median","sd","ll","ul","rhat","ess_bulk","ess_tail","mcse_mean","mcse_median","mcse_ll","mcse_ul","summary_output_type"
9,10,9,"psi[1,1]","BMLVAR",TRUE,200,200,0.996033284666667,0.995995555555556,0.00714198936652621,0.982143222222222,1.01011019444444,1.00001408024673,37169.636648146,38716.7226777444,3.70519806104756e-05,4.55555555555456e-05,8.77777777777669e-05,9.77777777777954e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"psi[2,1]","BMLVAR",TRUE,200,200,0.203531789333333,0.203516666666667,0.00516657566267988,0.19341325,0.213698916666667,1.0000418778124,37779.3937026237,39159.7493605267,2.6585771823138e-05,3.11111111111083e-05,7.11111111111144e-05,7.16666666666674e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"psi[2,2]","BMLVAR",TRUE,200,200,1.00484246177778,1.00479555555556,0.00721939449344791,0.990826583333333,1.01913447222222,1.00001392041842,37511.8062210331,38761.4396543521,3.72769620063705e-05,4.777777777777e-05,9.66666666666708e-05,9.83333333333607e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"psi[3,1]","BMLVAR",TRUE,200,200,0.198916119722222,0.198904444444444,0.00515892131295614,0.1888555,0.209091194444444,1.00003989492444,37375.5023291022,38888.8474519882,2.66876900809622e-05,3.2222222222219e-05,6.99999999999975e-05,7.00000000000006e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"psi[3,2]","BMLVAR",TRUE,200,200,0.201373468555556,0.201363333333333,0.0051943424950797,0.191182138888889,0.21159225,1.00003291242688,37751.8273257976,38553.5940082168,2.67390438877434e-05,3.38888888888889e-05,7.44444444444433e-05,6.94444444444445e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"psi[3,3]","BMLVAR",TRUE,200,200,1.00314262613889,1.00310666666667,0.00718998864470515,0.989134333333333,1.01730344444444,1.00005500202105,37061.0207145843,38720.8926332482,3.73567150658199e-05,4.72222222222355e-05,9.55555555555463e-05,0.000101111111111095,"summary-fit-mplus-k4-diagnostics"
9,10,9,"psi[4,1]","BMLVAR",TRUE,200,200,0.200386328972222,0.200367777777778,0.00513957322418617,0.190345527777778,0.210500027777778,1.00005052306894,37665.4370321109,38688.9876553348,2.6484717104261e-05,3.1666666666666e-05,7.55555555555556e-05,6.9444444444446e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"psi[4,2]","BMLVAR",TRUE,200,200,0.199046254472222,0.199033333333333,0.00517017613508109,0.188947694444444,0.209182305555556,1.00006068160935,37167.8536080736,38462.9586230522,2.68204285999072e-05,3.33333333333343e-05,7.16666666666643e-05,7.00000000000037e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"psi[4,3]","BMLVAR",TRUE,200,200,0.202583977916667,0.202572222222222,0.0051667477958626,0.192474361111111,0.212703388888889,1.00000083197728,37456.4454469415,38511.9596545255,2.66987933931792e-05,3.22222222222174e-05,6.72222222222216e-05,7.38888888888903e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"psi[4,4]","BMLVAR",TRUE,200,200,0.997831012972222,0.997807777777778,0.00714313911086738,0.983899944444444,1.01192336111111,1.00002398028149,37348.5681966018,38541.0293781958,3.696453452958e-05,4.55555555555641e-05,0.000100000000000001,9.55555555555401e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"mean(beta[1,1])","BMLVAR",TRUE,200,200,0.395034514527778,0.395063333333333,0.0119974171636848,0.371444222222222,0.418506833333333,1.00003292085535,28531.752322325,35282.3724366485,7.10146707126703e-05,8.38888888888895e-05,0.000166666666666664,0.000176666666666668,"summary-fit-mplus-k4-diagnostics"
9,10,9,"mean(beta[2,1])","BMLVAR",TRUE,200,200,0.0475167677222222,0.0475055555555556,0.0121738355108338,0.0236154444444444,0.0714200833333333,1.00002729084824,29188.1264892515,35249.1691352761,7.12405214547877e-05,8.61111111111107e-05,0.000183888888888889,0.000167777777777777,"summary-fit-mplus-k4-diagnostics"
9,10,9,"mean(beta[3,1])","BMLVAR",TRUE,200,200,0.130301884888889,0.130310555555556,0.0122340540460098,0.106270916666667,0.154275666666667,1.00005233446738,29239.2555003484,35785.2850270966,7.15300222175096e-05,8.72222222222231e-05,0.000169444444444446,0.000179444444444442,"summary-fit-mplus-k4-diagnostics"
9,10,9,"mean(beta[4,1])","BMLVAR",TRUE,200,200,0.183270189583333,0.183267222222222,0.0120868998713378,0.159653194444444,0.207061222222222,1.00005098599843,29102.2092891001,35993.5741334722,7.08316568474352e-05,8.22222222222227e-05,0.000178888888888886,0.000175555555555557,"summary-fit-mplus-k4-diagnostics"
