"taskid","replications","replications_used","method","default_priors","n","time","chains","requested_iterations","retained_iterations_per_chain","burnin","retained_draws","level","elapsed_seconds","max_rhat","min_ess_bulk","min_ess_tail","n_rhat_na","n_rhat_gt_1_01","n_ess_bulk_na","n_ess_bulk_lt_100","n_ess_bulk_lt_200","n_ess_bulk_lt_400","n_ess_tail_na","n_ess_tail_lt_100","n_ess_tail_lt_200","n_ess_tail_lt_400","summary_output_type"
1,10,10,"BMLVAR",TRUE,50,50,2,40000,20000,20000,40000,0.95,270.81789457798,1.00246913150517,1281.66491340835,1926.40909984201,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-diagnostics"
1,10,10,"BMLVAR",FALSE,50,50,2,40000,20000,20000,40000,0.95,272.354562115669,1.00487798986577,659.616668395668,1482.90348801854,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-priors-diagnostics"
2,10,10,"BMLVAR",TRUE,100,50,2,40000,20000,20000,40000,0.95,603.932624316216,1.00461261733164,751.480159770397,1236.32548821395,0,0.1,0,0,0,0,0,0,0,0,"summary-fit-mplus-diagnostics"
2,10,10,"BMLVAR",FALSE,100,50,2,40000,20000,20000,40000,0.95,597.802650380135,1.009478630845,432.416990593946,976.880703534918,0,0.6,0,0,0,0.3,0,0,0,0,"summary-fit-mplus-priors-diagnostics"
3,10,10,"BMLVAR",TRUE,200,50,2,40000,20000,20000,40000,0.95,1399.03371155262,1.00458819693296,551.15607773028,912.519859188693,0,0,0,0,0,0.1,0,0,0,0,"summary-fit-mplus-diagnostics"
3,10,10,"BMLVAR",FALSE,200,50,2,40000,20000,20000,40000,0.95,1402.98526015282,1.01184948253827,353.268662221486,797.519349870061,0,1.1,0,0,0,1.2,0,0,0,0,"summary-fit-mplus-priors-diagnostics"
4,10,10,"BMLVAR",TRUE,50,100,2,40000,20000,20000,40000,0.95,397.378144097328,1.00230939070672,1754.45983222746,3340.06841588698,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-diagnostics"
4,10,10,"BMLVAR",FALSE,50,100,2,40000,20000,20000,40000,0.95,395.988429570198,1.00316399743917,1261.19384635921,2740.75471823511,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-priors-diagnostics"
5,10,10,"BMLVAR",TRUE,100,100,2,40000,20000,20000,40000,0.95,896.712941408157,1.00329275071271,1212.58305038779,2293.9349087052,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-diagnostics"
5,10,10,"BMLVAR",FALSE,100,100,2,40000,20000,20000,40000,0.95,904.006978416443,1.00379759622165,881.647291729322,1894.1786674312,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-priors-diagnostics"
6,10,10,"BMLVAR",TRUE,200,100,2,40000,20000,20000,40000,0.95,2222.86358659267,1.00264963502289,1076.24324424239,2213.13785109876,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-diagnostics"
6,10,10,"BMLVAR",FALSE,200,100,2,40000,20000,20000,40000,0.95,2137.00571243763,1.00472251828782,691.22811545599,1399.13322891814,0,0.1,0,0,0,0.1,0,0,0,0,"summary-fit-mplus-priors-diagnostics"
7,10,10,"BMLVAR",TRUE,50,200,2,40000,20000,20000,40000,0.95,642.784841108322,1.00092375363346,3078.33931589016,6573.80936766421,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-diagnostics"
7,10,10,"BMLVAR",FALSE,50,200,2,40000,20000,20000,40000,0.95,650.701850605011,1.00136041722087,2538.34694228747,5109.91529783414,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-priors-diagnostics"
8,10,10,"BMLVAR",TRUE,100,200,2,40000,20000,20000,40000,0.95,1508.04390034676,1.00136808997309,2248.49178106336,5365.50014447707,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-diagnostics"
8,10,10,"BMLVAR",FALSE,100,200,2,40000,20000,20000,40000,0.95,1493.84847588539,1.00126007078145,2007.25875384527,4129.95552472787,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-priors-diagnostics"
9,10,10,"BMLVAR",TRUE,200,200,2,40000,20000,20000,40000,0.95,3826.8008439064,1.00175239300133,2071.05075746156,4604.40891495405,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-diagnostics"
9,10,10,"BMLVAR",FALSE,200,200,2,40000,20000,20000,40000,0.95,3604.41147134304,1.0015069237562,1795.78028120484,4144.67463742735,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-priors-diagnostics"
10,10,10,"BMLVAR",TRUE,50,,2,40000,20000,20000,40000,0.95,475.052834796906,1.00162060931247,1836.79063904821,3549.93511430209,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-diagnostics"
