"taskid","k","n","time","heterogeneity","output_type","method","stage","replications_requested","files_present","readable","converged","admissible","successful","missing_file","unreadable_file","check_error","nonconvergence","inadmissible","convergence_rate","admissible_rate","success_rate"
1,2,50,50,1,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
1,2,50,50,1,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
1,2,50,50,1,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
1,2,50,50,1,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
1,2,50,50,1,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
1,2,50,50,1,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
1,2,50,50,1,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
2,2,100,50,1,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
2,2,100,50,1,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
2,2,100,50,1,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
2,2,100,50,1,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
2,2,100,50,1,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
2,2,100,50,1,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
2,2,100,50,1,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
3,2,200,50,1,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
3,2,200,50,1,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
3,2,200,50,1,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
3,2,200,50,1,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
3,2,200,50,1,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
3,2,200,50,1,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
3,2,200,50,1,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
4,2,50,100,1,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
4,2,50,100,1,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
4,2,50,100,1,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
4,2,50,100,1,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
4,2,50,100,1,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
4,2,50,100,1,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
4,2,50,100,1,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
5,2,100,100,1,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
5,2,100,100,1,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
5,2,100,100,1,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
5,2,100,100,1,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
5,2,100,100,1,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
5,2,100,100,1,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
5,2,100,100,1,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
6,2,200,100,1,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
6,2,200,100,1,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
6,2,200,100,1,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
6,2,200,100,1,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
6,2,200,100,1,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
6,2,200,100,1,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
6,2,200,100,1,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
7,2,50,200,1,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
7,2,50,200,1,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
7,2,50,200,1,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
7,2,50,200,1,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
7,2,50,200,1,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,9,9,9,0,0,0,1,0,0.9,0.9,0.9
7,2,50,200,1,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
7,2,50,200,1,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,9,9,9,0,0,0,1,0,0.9,0.9,0.9
8,2,100,200,1,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
8,2,100,200,1,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
8,2,100,200,1,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
8,2,100,200,1,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
8,2,100,200,1,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,7,7,7,0,0,0,3,0,0.7,0.7,0.7
8,2,100,200,1,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
8,2,100,200,1,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,7,7,7,0,0,0,3,0,0.7,0.7,0.7
9,2,200,200,1,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
9,2,200,200,1,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
9,2,200,200,1,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
9,2,200,200,1,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
9,2,200,200,1,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,6,6,6,0,0,0,4,0,0.6,0.6,0.6
9,2,200,200,1,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
9,2,200,200,1,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,6,6,6,0,0,0,4,0,0.6,0.6,0.6
10,2,50,,1,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
10,2,50,,1,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
10,2,50,,1,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
10,2,50,,1,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
10,2,50,,1,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
10,2,50,,1,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
10,2,50,,1,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
11,2,100,,1,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
11,2,100,,1,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
11,2,100,,1,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
11,2,100,,1,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
11,2,100,,1,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
11,2,100,,1,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
11,2,100,,1,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
12,2,200,,1,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
12,2,200,,1,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
12,2,200,,1,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
12,2,200,,1,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
12,2,200,,1,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
12,2,200,,1,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
12,2,200,,1,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
13,2,50,50,2,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
13,2,50,50,2,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
13,2,50,50,2,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
13,2,50,50,2,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
13,2,50,50,2,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
13,2,50,50,2,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
13,2,50,50,2,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
14,2,100,50,2,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
14,2,100,50,2,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
14,2,100,50,2,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
14,2,100,50,2,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
14,2,100,50,2,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
14,2,100,50,2,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
14,2,100,50,2,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
15,2,200,50,2,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
15,2,200,50,2,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
15,2,200,50,2,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
15,2,200,50,2,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
15,2,200,50,2,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
15,2,200,50,2,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
15,2,200,50,2,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
16,2,50,100,2,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
16,2,50,100,2,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
16,2,50,100,2,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
16,2,50,100,2,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
16,2,50,100,2,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
16,2,50,100,2,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
16,2,50,100,2,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
17,2,100,100,2,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
17,2,100,100,2,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
17,2,100,100,2,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
17,2,100,100,2,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
